,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
Manufacture of chemicals and chemical products ,0.06338235453873854,0.006502224371306555,0.0005045919662903387,0.025311609498324887,0.007333478112783983,0.05117948389809081,0.014008375433792632,0.016619798062562367,0.005557982601913304,0.016951236384598885,0.3356830501550554,0.010969674194791132,0.11733763440709248,0.03780423115418488,0.023212111709367433,0.018651197189158756,0.02542072859911385,0.034754478496057326,0.014481539153504643,0.009446189703898412,0.004342139931941378,0.005202634314696456,0.0,0.0035677723752465386,0.0011390701165235105,0.0012057743128442541,0.0649039895878066,0.0,0.0005496717719002963,0.00011371360461498694,0.0020857817425003603,0.0007309257299844241,0.0005953045185101081,0.002454295590995362,5.125669206607582e-05,0.0025199641891341454,0.0,0.0,0.0001979078364657663,0.0013558763210303425,0.00038712566102506297,4.323793141320333e-05,0.0,0.00025783693047474457,0.00784952426730721,0.0,0.0036831356891911557,0.0,0.007723043618836544,0.00226157814996336,0.004072993720367695,0.0103615307505111,0.0007103594414570337,0.014495818349411556,0.0,0.0
Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.01710900956842111,0.00041498201213736446,0.0010763780829963906,0.0027829013360971457,0.005260350009139797,0.003078319879702965,0.00024519886121709435,0.0013484254879862663,0.00033368659210764756,0.003160557354411055,0.009118941280725087,0.1666187855645806,0.0009387254984952342,0.0035623233170983815,0.006326404296408253,0.001709529712802411,0.0031130564135488513,0.002395255946733825,0.0031577385742259656,0.0013790911361482498,0.000649463525879933,0.00037250068406795625,0.0,0.0026292139825402454,4.2729616008291845e-05,0.000340394454103183,0.011736331330767517,0.0,0.00044755470962135226,9.258808964759633e-05,0.001914359020901079,0.0006097385813703585,0.0005567306470613863,0.0005991042082466464,5.1505678611827196e-05,0.0006324571818046092,0.0,0.0,0.000617202802962467,9.08502266729346e-05,0.0002776581496690663,4.434084867931084e-05,0.0,7.067277186858503e-05,0.0015780828710413616,0.0,0.0010270455387136508,0.0,0.0025845355726924015,0.00014857861746740518,0.0009037393138061464,0.0007113137024103984,0.6117634172576806,0.0011345091896233501,0.0,0.0
Manufacture of rubber and plastic products,0.020778181608554505,0.0009844304277049035,8.03251356259343e-05,0.01763110486275669,0.04422051895711795,0.03539154786882124,0.007229220451991033,0.007801665081437642,0.013053133974010638,0.005490590956933515,0.08085367157391121,0.0037818138110383985,0.20939121313633616,0.028622913129646897,0.009525930812626074,0.01860283211302347,0.08078011984022417,0.09462476297096306,0.05893172534462532,0.08066678774321005,0.02319084908391802,0.012533890737685011,0.0,0.0019696722374801484,0.0017108856807185732,0.000639531356776888,0.08790413423945227,0.0,0.005941061879123989,0.0012290599518696385,0.011448083581508227,0.00012969641863954913,0.000142827153717491,0.0010804223015251002,0.00018126005389422338,0.002860293204257312,0.0,0.0,9.463129001936135e-05,5.692303874470657e-05,0.00013221918411752528,3.141590080254118e-05,0.0,0.0005543419592773199,0.0020618046817376164,0.0,0.00031714947112920875,0.0,0.0016749151129532836,0.0022137217856496856,0.0008232178341542011,0.00018887942325825668,0.0022274675475579373,0.008248993013024265,0.0,0.0
Manufacture of other non-metallic mineral products,0.0004561562131513028,0.00030907239914764937,0.00028423956887315874,0.009174914384300724,0.007595052582007074,0.001287858354978691,0.0009673334239899645,0.0006684764916686318,0.0002222030781617579,0.009163674462292113,0.008731601860523979,0.003974758324269582,0.003571151031003066,0.18236925826920133,0.036245360639113544,0.008159519087962143,0.018924874628288096,0.030191299652920275,0.009140116976187055,0.014052490444447065,0.0019869664377928486,0.0014602263671809348,0.0,0.0019425914555996305,4.656417713389266e-05,0.0005962891267529784,0.6285634708051334,0.0,0.00020608137463602367,4.263318065771893e-05,0.00036493112044120094,5.0369572255592486e-05,0.00011426727193701286,0.0004869541000208423,0.000272173312925869,0.0002615941018257154,0.0,0.0,0.00013976918099345033,0.000135351072520465,7.935156190983554e-05,5.11587159083965e-05,0.0,6.438840058976075e-05,0.0006064826862752122,0.0,0.000525747061053018,0.0,0.0006386588915426776,0.0009887315274628918,0.0027066981570171077,0.002171667880465805,0.0012262012699217552,0.0012438791100404147,0.0,0.0
Manufacture of basic metals,0.0004931988055016713,0.00010117141877266261,4.3990102470515956e-05,0.020284905659044207,0.0005663806331594924,0.001126964909065842,0.000590137134767487,0.0005446141902457646,0.0007224736353201638,0.004635157808326091,0.008274928365062967,0.0003489101688536425,0.0023945917026614912,0.011535807788304075,0.3068124884947192,0.10046468568561392,0.02190075046192429,0.11750126528563895,0.0891458030719166,0.05296774338753094,0.019884598924179993,0.006226416543106295,0.0,0.0031475084235273016,0.00010582642310654919,8.352382749070895e-05,0.2161550040940695,0.0,0.00018827522001939702,3.894952410248348e-05,0.0009032983538702261,0.00019862831749151041,0.00010284201071764623,0.00048116989122960757,2.844919442655223e-05,0.00010894629794196896,0.0,0.0,5.095694618335122e-05,2.8453677367400567e-05,0.00012893213149501868,3.496239256494397e-05,0.0,6.200408506675338e-05,0.0007064032176070655,0.0,0.00010709129213099585,0.0,0.0006211636749160938,0.00010692541826452665,0.00028089213367060327,0.00032653348187030966,0.0007779948678421066,0.000685393744207892,0.0,0.0
"Manufacture of fabricated metal products, except machinery and equipment",0.0011331508115063065,0.0010550401997172782,0.00028503974546347145,0.03990556247450875,0.007970865894980944,0.003288082614932996,0.013066756213004294,0.0024990729259742536,0.00141187445541862,0.0026640384810109846,0.011124056989988616,0.0017465231036125875,0.012596150292518208,0.04064066246938991,0.04764904879990759,0.14691513544871873,0.03901900926486106,0.07652633487379215,0.09377560477020648,0.036190662479008574,0.0197958493559695,0.005867006701174469,0.0,0.0017307560680227818,0.0014291161985855968,0.0007040427192954515,0.22563448596248373,0.0,0.0008560289090463595,0.0001770913804901611,0.000675779373221362,0.0005158467414392295,0.00022688327849716263,0.00457790709709249,0.00010330325733780415,0.00069030428341607,0.0,0.0,0.0002317678386175619,0.0001555401822211813,0.000438153254341555,9.267651174645458e-05,0.0,0.0011417123986149761,0.023576780419047528,0.0,0.0034293243953715975,0.0,0.016197071310172742,0.0016435031682377828,0.0027926929898832893,0.0031060228713395525,0.001722667328562772,0.005794339748641269,0.0,0.0
"Manufacture of computer, electronic and optical products",0.0005714402909132083,0.00013743946415231733,6.434558523021514e-05,0.007443803813032665,0.0006427544643527254,0.0009031981603909345,0.00047457015497687303,0.0008840093230564608,0.0004111196153847355,0.002675000631940547,0.003955537885615341,0.00047934640118798194,0.001199019623956383,0.0020921792943146425,0.004013743824239834,0.0029537804630587385,0.5838922488073977,0.05887940725741365,0.0566056521030338,0.017629803319193598,0.016942828568552986,0.001051723377138368,0.0,0.022418214498062743,0.00017962421794559926,0.0007379244878214858,0.014352380322473086,0.0,0.007168424085558373,0.0014829710817414723,0.0005549519064550875,0.00011105511786499977,8.91457896384423e-05,0.0005160695202598494,0.00010092364742445207,0.00022980827982596445,0.0,0.0,0.01112984102341417,0.017686076246598393,0.0007084318224038229,5.8362775560760864e-05,0.0,0.000377957236575854,0.019962127467743788,0.0,0.003467382881531338,0.0,0.021789432735716267,0.0012751831863328893,0.0033366718939164576,0.008110646492265408,0.0019602048830976936,0.01469683138990819,0.0,0.0
Manufacture of electrical equipment,0.0005433298984805843,0.00026463971656820354,8.809360989514639e-05,0.010517990833613844,0.0011519940898864606,0.0013807020911888502,0.0007393862358583998,0.0007898367392749974,0.0003079980636592678,0.0017327588090489728,0.005146653990523333,0.00040290335494789315,0.0016013419826103276,0.0038543639900086727,0.011139521196112761,0.0071761776157447605,0.09263299268865208,0.20405634835066416,0.07985068226104522,0.020601715790786904,0.03836036190170455,0.0017354654052452853,0.0,0.05521754078694907,8.826182186786948e-05,0.000831919170825724,0.14728241475112547,0.0,0.018307325907712224,0.003787336600222773,0.0008037601651994301,0.00046861065821765963,0.00015057334554350335,0.0003887415970687807,5.385871161053564e-05,0.00025059724691049403,0.0,0.0,0.02384436720874044,0.0027828836135777835,0.0002647870104258195,5.48416898256314e-05,0.0,0.0006292181766718926,0.030917871769925612,0.0,0.0054139098837456745,0.0,0.007474512956973794,0.001437961406589425,0.0026207518495861104,0.0004694607790429579,0.0029422763013849085,0.008858350105114484,0.0,0.0
Manufacture of machinery and equipment n.e.c.,0.006568869087869911,0.002533937916822043,0.0010145481581135855,0.05054768638542989,0.004567643980247464,0.007303466121026566,0.0040282177206234305,0.002246353434508978,0.0017303433049644119,0.007574340937886105,0.014257766831371681,0.0023909837761231663,0.004358744998608255,0.02455255242259903,0.04434663358312115,0.027693810115566507,0.020679772855362672,0.04389374164512635,0.20872912165039093,0.04466557503900479,0.02742575832739436,0.001443747150141396,0.0,0.007124502719270378,0.0003464114013921405,0.0004361890576060812,0.03810568696463936,0.0,0.0008054108527895945,0.00016661974645361264,0.0015595582842673431,0.002351814599439478,0.003320428036643225,0.004694408701237438,0.00013511483985407914,0.0003597322857115253,0.0,0.0,0.0005832633513699628,0.00020989096245226978,0.0010772424875615091,5.9481957777336826e-05,0.0,0.0003670742950349509,0.0018290196143408049,0.0,0.00023596735912808327,0.0,0.0011289049324514776,0.00021587015753088103,0.0007032303288106262,0.0011585505295360894,0.018619485640445414,0.0017173119443545791,0.0,0.0
"Manufacture of motor vehicles, trailers and semi-trailers",0.0009142865294352498,0.0006216981412464997,0.0002595528897665913,0.0050435924347982785,0.00046799817646647404,0.0007111162730420423,0.00031152036131450276,0.0004050976636227906,0.00012024083543421165,0.0006008194259680327,0.0017065464953657972,0.00024654235899615695,0.0006445942207284541,0.0055571421186451616,0.004984384363956272,0.0033293680328934576,0.003400789364436423,0.0029583380610489394,0.02733916328927191,0.42361769756459455,0.0022014370272557013,0.00034217030818440506,0.0,0.0006073769630405119,3.7937644141051654e-05,0.0009659617061704208,0.0055959486123192655,0.0,0.004474720272896215,0.0009257098470159092,0.037534932546011854,7.071292752630845e-05,0.00011651676657438708,0.00023410718909083712,0.0005033502320837971,0.0006946426658454142,0.0,0.0,0.0001393549434659007,0.0017968450992808772,0.0005988504449355509,0.00010175183337582333,0.0,0.00011576641844484594,0.026505402341504055,0.0,0.0006641606467054792,0.0,0.0029637635905396423,0.0023397984192649007,0.011855992159843336,0.0002443584622388616,0.0016398422280760954,0.010379390438789035,0.0,0.0
Manufacture of other transport equipment,0.0008450449103087582,0.0005120898502931487,0.004187361924242868,0.003228572601912467,0.0003534163250988031,0.0008302194767445921,0.00037137240515303614,0.00048230251039013645,0.0001348118262684686,0.0004579904360890457,0.0019791299675684564,0.0002973274810641975,0.0008189139578077223,0.0015726047518198466,0.005959860472600697,0.003414325154633881,0.003352496821576541,0.004170912694141069,0.02549281350830121,0.002855075242238243,0.26360162045809027,0.00037790795074182785,0.0,0.0006908700805918654,3.971645190491325e-05,0.0012263822006468629,0.013073727937864314,0.0,0.00019212336040520353,3.974560994262362e-05,0.018838060414051432,0.02909701083877102,0.02596599750173447,0.0023765232852350987,0.007324107684670281,8.450927538878864e-05,0.0,0.0,0.00039842721333360276,0.0006569157061870024,0.0004922495795079805,0.0005490126848714748,0.0,8.352986041031836e-05,0.0007386719414828132,0.0,0.00013355474815918443,0.0,0.0008129784778682774,0.00022120968967754737,0.0024086732377744968,0.00031164274589936045,0.0015400943221075024,0.0369882263117705,0.0,0.0
Manufacture of furniture; other manufacturing,0.0016223636676105423,0.001001895947332013,0.000484956653153301,0.011163089596660892,0.005764639280429421,0.013174319713368594,0.003972616613715871,0.036294595465858746,0.002074450313086587,0.0037556539979320936,0.013043906454127778,0.0032862296084363724,0.008099022581341363,0.018101624890128728,0.2503905564163997,0.03509818424909379,0.01651277787359544,0.01738418394651442,0.02051170955261953,0.028736782878664876,0.006822302564472482,0.02343932322643613,0.0,0.0034493463501350115,0.00031488923410982197,0.0007202865473254834,0.056646144108442514,0.0,0.005467745867693237,0.0011311424808747082,0.003104012713563981,0.000262473784550003,0.0003656193082248581,0.002964136525549906,0.0004895722059037277,0.002851587338058448,0.0,0.0,0.001720046105650816,0.0016315619494645648,0.01783563372361524,0.005837411799930977,0.0,0.004819880748506576,0.03340176643440784,0.0,0.0013568160921385724,0.0,0.008296954924296879,0.002814028898977684,0.020470825715299068,0.021430860724503908,0.004399234496724462,0.02230814510057801,0.0,0.0
Repair and installation of machinery and equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, gas, steam and air conditioning supply",0.012617123769406156,0.0013334641210786444,0.0008956226879469894,0.073128257811611,0.013121377082020578,0.015735793036195465,0.006682870644207719,0.007302901318920317,0.0009389246304338653,0.018411624034337815,0.07669992384677914,0.005252952743809596,0.009960374708476806,0.051429770845377115,0.08954332433481964,0.031280209741933525,0.012851865191255137,0.014069712032315813,0.02106998776506452,0.00962175893819974,0.0037598631485696744,0.001736933587263894,0.0,0.3303705447098957,0.005989631809488602,0.0011808305825487888,0.04321225166116274,0.0,0.01693257768142822,0.0035029349186367497,0.013358681173641473,0.00012561711687490563,0.0002596904279391078,0.0010748039026922803,0.00014225833276820333,0.005116517432771614,0.0,0.0,0.004688418455526048,9.980947714822968e-05,0.0027836192919795956,6.740216963917233e-05,0.0,0.002875607360512177,0.0014842966513194387,0.0,0.0010286540397437312,0.0,0.0008741057220103969,0.0018750637170791063,0.006340274263590103,0.005673819931216156,0.004614129906074151,0.007588962863960418,0.0,0.0
"Water collection, treatment and supply",0.0025610228399624005,0.0021733240867467542,0.00030599618253605084,0.0319176441901808,0.035011825080815864,0.013349523954421044,0.006386430373969566,0.006785280890700153,0.0018301252199389544,0.01634608981275825,0.040974952030012085,0.00435852368745295,0.00959297161678329,0.029680827483992596,0.033300355122856895,0.011066257573808046,0.01490825496955629,0.012524887380665442,0.01758453852030641,0.00723169607086066,0.002422767423495529,0.004390199374793902,0.0,0.05260635516528811,0.05155049187581639,0.007350165469613189,0.07605686894051512,0.0,0.010445063129291743,0.0021608273147384807,0.007348566818575215,0.001390486867162892,0.001357486106426299,0.0038531087394662196,0.00031706739760466017,0.026534006683028084,0.0,0.0,0.0012506133678665454,0.00022544217913391372,0.005786580536921673,0.0028850374978025986,0.0,0.007152760246569017,0.0032246814198275747,0.0,0.004034610615281798,0.0,0.0027230115456885915,0.005066076986668867,0.016410083004322614,0.027813700757170882,0.017885346895913534,0.03348105832936977,0.0,0.0
