,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
Manufacture of chemicals and chemical products ,0.01808910923272005,0.0005596255893004333,2.687616237216437e-05,0.001039320935990037,0.019499460073084098,0.01267334209346083,0.007889875409144879,0.011263263194823262,0.005362910969750441,0.025952981676903054,0.2211478942290652,0.02359837560319795,0.09816718047699174,0.011451562127896888,0.021830433336725293,0.013664197140081009,0.008825234078283619,0.00876432726739213,0.018695586607641992,0.030444200389224598,0.003793254591654581,0.006027087133161255,0.0032711285811922166,0.0052474069542899,0.0004283062777181909,0.0027926299941791895,0.03640969333637655,0.002903593129294702,0.007638924228934399,0.006116510737739662,0.0025175676334256596,0.0010172337942853037,0.00212980265859925,0.0027551171093515886,0.0006296159527170678,0.005758262738047719,0.0014595013528310781,0.000638724018817912,0.001891211062472509,0.0060266942949035,0.0028889830545378503,0.0010263149674204764,0.0004887014188286571,0.002986433837850387,0.002982824772277988,0.0014665167624132616,0.0017148635803842457,0.00045809605589988673,0.0010672410320173031,0.012229875644420038,0.007497756078843219,0.002393282977281234,0.01909747576069682,0.00806382367258931,0.0,0.0
Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.006377576088092559,0.00016620683565068357,2.2380504920799276e-05,0.0003982326608572116,0.019679285742861492,0.0032464342280274783,0.0015548450348243806,0.0014868634068962434,0.0009232989472054671,0.002122047868755679,0.02826190539457372,0.27505356812441945,0.006999931211046965,0.0023019278886679865,0.0022343005791294135,0.003932124099764924,0.005288848238876726,0.0041761029362973765,0.0069580203906475565,0.010953479103174978,0.0023234434100559698,0.004659608436640011,0.0019481383218226723,0.003497933832656635,0.0003262065337320384,0.0028487731017464097,0.016252357992003398,0.0020471430905947183,0.008400686826681011,0.010626369864918297,0.0025122153902540846,0.000476876128516033,0.0007176027434230356,0.003057725152518685,0.00044577831351241956,0.011327880372687062,0.002434878418501409,0.0017226121323051528,0.003293970643055061,0.0042358806965923455,0.005997144951157835,0.002113832985191446,0.0008739087413187307,0.008200615181378405,0.006155094659415727,0.0039060145902197474,0.0058420773246445155,0.0008587460626447526,0.003717432887889996,0.010004147006828758,0.01091162096941593,0.0043413024382762296,0.34028311520425153,0.016413051819459738,0.0,0.0
Manufacture of rubber and plastic products,0.004712652702430786,0.00033881201742050923,1.0853368752953134e-05,0.00048212215938615757,0.04210574568013087,0.005582362598358828,0.003612397786978164,0.013952461051552217,0.0021982060556227584,0.0022473785769639714,0.02270390168427745,0.007944794851911236,0.10610373713028351,0.006017940224358324,0.003543853078064927,0.022104316009907938,0.012380437481354358,0.024923884870365325,0.07397689781675472,0.17179530323422226,0.006605963262308748,0.01628722552281174,0.008661021875503471,0.007951839744944426,0.0006688454037027256,0.005021585786228363,0.16634901800291496,0.01573388801042559,0.010949850304983763,0.021112789489303212,0.0046202186296971665,0.00017778519682448335,0.00028421525547212164,0.002808824769606211,0.000547907881766754,0.003353849574429683,0.0006718996446554554,0.00023422578663653156,0.0016337533680975684,0.0014919757378154042,0.001217421033441243,0.0004420290538289513,0.00013883394706474153,0.002284793423165039,0.0008311821041956075,0.0035182102679681506,0.0012895136875243204,0.0010552620179088673,0.0009192267168071165,0.007505338195240542,0.00678889506035617,0.0014104990709610723,0.008953744175517036,0.003066814732420335,0.0,0.0
Manufacture of other non-metallic mineral products,0.00831098323866686,0.001201634160565848,4.312594947134664e-06,0.0008139025588809332,0.015966479114612145,0.0030381352832420665,0.01938503479745485,0.0006767121059673467,0.00018561841556169966,0.0023020518701562746,0.015287587699494171,0.006949925724127666,0.008913181178359658,0.11471902710706468,0.01064424701673318,0.013057143215204431,0.011109562489936463,0.01088074332569982,0.014090835640085687,0.03761958405433557,0.002149636989547362,0.007136368617934619,0.005180551403731494,0.01711455963249737,0.0010376632517138742,0.0026434156245044946,0.3876091751343196,0.00248554201097751,0.0023810402880860416,0.001909634004271014,0.0021470763216023957,0.00015074806749302582,0.00012275459942946154,0.002106755797391288,0.0001773175501026511,0.004151033782436639,0.0001980434980059104,0.0001269543772558795,0.0030491440905864335,0.0005978049813178419,0.0007420485406802105,0.0002507229225273638,0.00010727727561809009,0.0023427188835892744,0.0006351634040340154,0.0011789446836765096,0.0006445429609721354,0.0008581743802740772,0.00016658322279828865,0.0103575667065454,0.008062101407488228,0.0008787230502687466,0.00364126890091173,0.005450698714560381,0.0,0.0
Manufacture of basic metals,0.0010075758718954624,7.01694413683721e-05,4.656548560266287e-06,0.0012864939009952052,0.002985480398790326,0.00038297059125123547,0.0008746792531661332,0.0019808019029820697,0.0002602473416117847,0.001745698072845826,0.022364445032232935,0.0011421924434638884,0.005689266954744827,0.0018115234612915635,0.3200307465894439,0.13766828058161676,0.010562213597882258,0.037027165251477444,0.11385337398683143,0.14496746085273746,0.013777490538865289,0.007701919009616131,0.019301100005589305,0.00822441813325068,0.0006790539699142782,0.0008834773574751525,0.028769845127435023,0.0042529325695177915,0.002762076456099404,0.0024109980393456675,0.0027142421601195803,0.00015337098814809027,0.0004881593181379098,0.0015305551452517905,9.121713725021292e-05,0.0006963966168615931,0.0001173715361964445,6.790472134110406e-05,0.0007157665979764581,0.0005991311478744268,0.0005210014686226083,0.00017975332863583762,7.595429606398442e-05,0.0009017054787225803,0.0004671761972751393,0.0010314315170738713,0.0007792560338865159,0.00014178771299701347,0.00023451363776089859,0.0011074945432212279,0.0015390592929813913,0.0005444227921301339,0.0011406643110601932,0.0006709786682204205,0.0,0.0
"Manufacture of fabricated metal products, except machinery and equipment",0.003248493777153771,0.0003084978517419317,8.841431898693663e-05,0.0017744624861847401,0.009554200747438627,0.002298241593780173,0.002296231381629988,0.000829727062084881,0.00033077448534885864,0.002891322612565781,0.008502356963629961,0.002030309095578706,0.009765366835741503,0.0029811574185885105,0.012532986682315063,0.19153881664815653,0.01210248982355332,0.02648539147887135,0.12279234744472833,0.1321450034410366,0.028179310556382422,0.01744263415063105,0.021077607103146573,0.00959832026961075,0.0009628467323528581,0.006231098554525362,0.09177790690400513,0.008226420268673174,0.0030236419557736205,0.0024690451735414677,0.002736180295290249,0.00017802151893076942,0.00032965642286794655,0.0037986442307426506,0.00031240756461600576,0.0016464469949096098,0.0002852261041706588,0.0002575478336433247,0.001006306197107789,0.0008597184805712915,0.0005075160471160549,0.00023620687183260192,5.4509983292557663e-05,0.002640394452317715,0.00031639427707604663,0.0006265619845213143,0.0008423719920047097,0.00044865531484876696,0.00015504848560345425,0.004050305996092592,0.004579879892715485,0.0011605762171813696,0.0028719721009451164,0.0013812995433715948,0.0,0.0
"Manufacture of computer, electronic and optical products",0.004894622909186033,0.00031166684228710865,2.5620468311931933e-05,0.0015530828965926809,0.014017627571589832,0.0026655864671332446,0.002669007308297457,0.0033670687256521117,0.003812409034153412,0.002938109973179832,0.0111581334053803,0.0031060688023965997,0.004635627068452226,0.004477096794477959,0.009464321642514874,0.01210786849221184,0.04304142274750283,0.04099191638053316,0.045576742404834794,0.04175030506678128,0.005377532767978081,0.010930306215226662,0.011417523046055382,0.013509533042459968,0.0005965383871426877,0.00328554123721218,0.03331710890617495,0.0021140642623328865,0.011965731097506684,0.009174430853423355,0.004434280760862601,0.001162875191406825,0.0036527550326165307,0.003140261033585668,0.0010950943132368536,0.0054170138174688435,0.00437190129678906,0.0016221532305023298,0.013624810910604303,0.016423540011242205,0.006239104129214259,0.0017457540183913453,0.0007967497566202224,0.003506519773131961,0.003894152286830353,0.003947042060420481,0.004805584166849915,0.0009375464157981071,0.0011066638003431313,0.010883216626922505,0.013293304962856542,0.004185283344166858,0.012819069169551096,0.005328754972060751,0.0,0.0
Manufacture of electrical equipment,0.0032747985011794298,0.0002712062740250017,1.376083052242863e-05,0.0013276130347767796,0.00752011109433295,0.0017189839779760958,0.0016029011548173808,0.002145270190909072,0.000721463993996341,0.0017648552224324373,0.0076191529232525245,0.001436691458243852,0.004005940578676213,0.003980774141324181,0.011330693907635239,0.015063294147697732,0.015186573993926733,0.20623946550042313,0.08996975027053125,0.07884708629462661,0.010633746177776793,0.008587403572108894,0.017013270918253103,0.043761994782801815,0.0011852432614724506,0.002608403268254272,0.1527951510302299,0.003261065721945135,0.006015416619876903,0.0033594094309246916,0.004829239036148932,0.0006783051075842184,0.002488373149956973,0.003302228485117046,0.0006443431072240154,0.006845026591595718,0.000799213014862451,0.00035577222014869286,0.004606452300294138,0.004290722575060706,0.001662913952849652,0.0007038110308896536,0.0003447114679607026,0.0027211688173953735,0.0013093201669142438,0.0009811896368855956,0.0014363625978813556,0.0004435633690795415,0.0004975533621917533,0.004980937636353865,0.005375273597255069,0.0014219003633746425,0.006170758187122416,0.005535720055929916,0.0,0.0
Manufacture of machinery and equipment n.e.c.,0.006908527879892005,0.0010132723364265999,2.1534567426026624e-05,0.002164985562465239,0.008904713408895887,0.002018863853880193,0.0014604930206493583,0.002297577928960986,0.0012619766908847083,0.0017702337675824774,0.007405837426854274,0.001131470675903137,0.0035826564576351668,0.0033060616330714944,0.010083850408792103,0.019801486268471818,0.005194206537150141,0.019361854952646248,0.23515647118271707,0.09509329040979536,0.008341070368236921,0.004125669232096797,0.011043668291199293,0.00961157472284396,0.0009607778716926922,0.00244546468364628,0.028259174027852232,0.0027087396864525375,0.003046049076521196,0.0033411164110349564,0.0030086979618662553,0.0007135744347363063,0.002820233023137268,0.0012331745498986861,0.0002561120455443159,0.002642797521043157,0.0005112059682313688,0.0002657025071464787,0.0026187555324892215,0.0029812794114337754,0.0011616312200210296,0.00044200653028115644,0.00021559270388828156,0.0019452027333836616,0.0011049830343098166,0.0008126513953343049,0.001303163131649702,0.0002190747306013371,0.000441500843459369,0.002487350801271675,0.0038845401707170604,0.0010682965667285675,0.005526821382844899,0.0014292144315999635,0.0,0.0
"Manufacture of motor vehicles, trailers and semi-trailers",0.0017807412163425007,0.00010212554556599947,1.5082770743292018e-06,0.00017960065902252736,0.001562507541613847,0.0002873768077918071,0.00032459116878004354,0.0003208749907350644,0.0001703909271543117,0.0002557003726313276,0.0010782840703190087,0.0005150204488708141,0.001502737711028072,0.0009070449359553396,0.0009352294473749579,0.0032337948862144607,0.0023565550387935883,0.0031087286071215443,0.03822522947571468,0.3894922213250797,0.003705822652630791,0.0007979011498270193,0.0013688145226153391,0.0011322518073991817,0.00015201355365215865,0.0011437213966965876,0.004916172376977922,0.015308411243210064,0.00197079403071545,0.005252805218960455,0.008047778718363279,8.759542723318597e-05,0.00016416753077835207,0.007618325272719074,0.0044181237649267594,0.0008950635420029499,0.0003182204795321573,0.00012956203853520457,0.0007142767224486218,0.0010756072525340305,0.0006859577247178353,0.0003170139617143726,0.0002104032699489325,0.0007990562720458813,0.00079804318526369,0.000482843880999415,0.0013751473080016931,0.0001800860574643736,0.00028136912256067294,0.002441867940551168,0.002983579274914297,0.0009497776383837574,0.0014498164126107666,0.0006647960457175551,0.0,0.0
Manufacture of other transport equipment,0.0037754967922612897,0.00021006454962807955,1.923159939013264e-05,0.0034814919058130255,0.009594554605641794,0.0024531702989558472,0.0033059463943179244,0.004676202242118261,0.0008322464283172978,0.0020282219178638906,0.014141404464203165,0.0022077970104180853,0.005669491988322133,0.005450743937817699,0.02119190547216782,0.03144377714933088,0.013742590914117522,0.0370147122809621,0.07388967067071583,0.07242106393286585,0.6955462592343566,0.0073059886731246014,0.17392635474489124,0.020018370551038674,0.0005409199639533519,0.0021063834530072266,0.023126897732068805,0.0016810560665872043,0.0046210712543115085,0.003927215502157351,0.008223291193394083,0.002013736641706628,0.055944879219943705,0.0022867177145525206,0.00031920868414397874,0.002479362753510713,0.0007490392239231677,0.0006072505609804663,0.006335448837891662,0.004670849413679513,0.0021256251373970355,0.0008014898470647955,0.00037981713258862586,0.006892638415861128,0.001627937240151765,0.007365516532783952,0.005764100431777601,0.0003251638697494066,0.0008180078714252723,0.008340675128039383,0.18647612039313796,0.003084901719642595,0.008823984575482526,0.0038889733827078554,0.0,0.0
Manufacture of furniture; other manufacturing,0.002289208761620816,0.00020545077391898126,1.3472427342649942e-05,0.0003754500576137757,0.006703979032225791,0.0013565501057627837,0.0031344548905261243,0.0010420485630924796,0.00036082952478617487,0.0011084015745055108,0.004392063266560809,0.0022958281393561522,0.0029819991158417675,0.0015512743982314414,0.003451816216204026,0.006643173054773112,0.00762965551365705,0.00384705026468496,0.008481512326636863,0.011442823870116936,0.0024892488896980283,0.034062628541947394,0.0030497650707896084,0.0025427293060039133,0.00014645174873273065,0.0010499678768569924,0.012598133288810692,0.0007688074162154141,0.003314216782233426,0.0030424943136154797,0.0011483939291714973,0.0002546584582342293,0.0005423043317904411,0.0013715408682695234,0.00017190852778278042,0.00435592845299385,0.0003864475507977914,0.0002339470174883714,0.001201046913528045,0.0015548999732025823,0.0012511651147899179,0.0004456091050644653,0.00017290355337063298,0.003151113163190366,0.001093573329733525,0.0006861937504198619,0.0006969232518177623,0.00021646779423681472,0.0006710554104187971,0.0022296906646720677,0.0037950604636734445,0.0011321084251485303,0.04085282079379352,0.003907762947380463,0.0,0.0
